claim_id,claim_text,where_used,basis,risk,status,conditions
CLM-01,"5g creatine + 5g Verisol collagen + a complete multivitamin / 2 lead actives + 11 supporting compounds = 13 actives","CT-01 CT-04 CT-10 CT-18 RSAs emails SMS","Product formula fact — product-facts.json formula_locked_v14",low,approved,"Never restate doses from memory; always from product-facts.json"
CLM-02,"Creatine increases physical performance in successive bursts of short-term high-intensity exercise","CT-02 emails W2 landing pages","GB NHC register authorised claim for creatine (conditions of use met at 5g/day)",low,approved,"Quote wording exactly; never paraphrase into 'performance boost' etc."
CLM-03,"The studied dose / the studied daily amount is 3–5g","CT-01 CT-03 CT-28 CT-29 UGC EDU scripts","Accurate characterisation of creatine research dosing",medium,approved,"Education framing only; never convert into an outcome promise"
CLM-04,"Biotin contributes to the maintenance of normal hair","CT-08 emails","GB NHC authorised claim (biotin at label dose 5000µg meets conditions)",low,approved,"Authorised wording only; 'maintenance of normal' never 'improves'"
CLM-05,"Vitamin C contributes to normal collagen formation (for the normal function of skin)","CT-08 UGC EDU08 emails","GB NHC authorised claim (80mg = 100% NRV meets conditions)",low,approved,"Attach to vitamin C — never to the collagen peptides themselves"
CLM-06,"Halal certified · HMC protocol GB18/2026 incl. source-of-slaughter certification","CT-11 CT-12 CT-13 RSAs","Certification document (certifications_text_claims_only)",low,approved,"Text claim only; HMC mark artwork requires licence confirmation; keep certificate current"
CLM-07,"Made in a GMP-certified UK facility","CT-13 RSAs emails","Facility certification on file",low,approved,"Phrase exactly — the facility is certified not the product"
CLM-08,"Third-party batch tested / COA per lot / tested for purity every single batch","CT-05 CT-13 RSAs emails","QA process + COA documents per batch",low,approved,"Must remain true operationally; COA supplied on request"
CLM-09,"Replaces ~£130 of comparable separates at typical UK retail","CT-06 CT-07 UGC ING01 OBJ04 emails C3","the_math_gbp in product-facts.json (separate_total 130)",medium,approved_with_conditions,"MANDATORY footnote listing the seven separates + 'prices checked at time of publication'; re-verify UK retail prices before every flight"
CLM-10,"From £1.62 a day subscribed (£33.99 ÷ 21 servings)","CT-25 CT-26 RSAs emails SMS","Arithmetic from live pricing",low,approved,"Always anchored to 'subscribed'; show or link the division; update if price changes"
CLM-11,"30-day flavour guarantee — hate it we refund the pouch","CT-32 RSAs emails SMS","Published store policy",low,approved,"Flavour refund only — never imply a results guarantee"
CLM-12,"20% of profits audited (annually) fund refuge care and crisis support for women","CT-21 CT-22 CT-23 CT-24 RSAs emails","Pledge commitment — pledge block in product-facts.json",medium,approved,"Exact phrasing; 'vetted partners across eight causes'; NEVER name unsigned partners; never guilt framing"
CLM-13,"Every pouch earns 2 charity tokens in the app; you choose the cause","CT-21 CT-23 emails SMS","App mechanism spec",medium,approved_with_conditions,"Only while the app token feature is live at time of publication"
CLM-14,"Strawberry lemonade · naturally flavoured · no added sugar","CT-14 CT-32 emails","Label / flavour_notes in product-facts.json",low,approved,"Verify final label artwork states 'no added sugar'"
CLM-15,"No loading phase — a steady 3–5g daily reaches the same place over weeks","CT-29 UGC EDU05","Creatine research consensus on saturation without loading",medium,approved,"Education framing; no user-outcome timeline attached"
CLM-16,"Creatine monohydrate is one of the most researched supplements in sports nutrition","CT-28 CT-30 UGC EDU01 EDU06","Fair characterisation of the literature",low,approved,"Never extend to 'proven safe for everyone'; keep exclusions adjacent"
CLM-17,"Half-scoop first week — the gentle way to start","CT-18 CT-19 emails lead magnet","Onboarding design (onboarding field in product-facts.json)",medium,approved_with_conditions,"NEVER imply it prevents bloating or side effects; 'gentle' describes the routine not a physiological outcome"
CLM-18,"Ships from London / made in the UK","CT-13 CT-15 RSAs","Operations fact",low,approved,
CLM-19,"Dandelion root — traditionally used for fluid balance","UGC EDU10 caption-level only","Traditional-use framing per brand hard rule 1 (botanicals)",high,restricted,"Organic education context only; NOT approved for paid ad copy; never 'de-bloat' or efficacy phrasing"
CLM-20,"Myo + D-chiro inositol 40:1 — the ratio studied in PCOS research","UGC EDU10 organic only","Ceiling phrase set by brand hard rules",high,restricted,"ORGANIC EDUCATION ONLY — never in paid ads (condition-adjacent); never an outcome promise; PCOS is a negative keyword in search"
CLM-21,"Pause or cancel any time","CT-25 emails","Subscription policy",low,approved,"Verify subscription app settings match before publishing"
CLM-22,"Debloat your mornings / keep mornings debloated","CT-20 (draft)","None — converts traditional-use botanical into efficacy promise",high,REJECTED,"See rejected-ads.md REJ-01"
CLM-23,"Stronger nails by week 8","email draft (never sent)","None — results timeline; exceeds biotin maintenance claim",high,REJECTED,"See rejected-ads.md REJ-03"
CLM-24,"Clinically proven formula","RSA headline draft (never imported)","None — 'clinically proven [product]' is banned; only ingredients are studied",high,REJECTED,"See rejected-ads.md REJ-04"
CLM-25,"Balance from within — your hormones will thank you","email subject draft (never sent)","None — hormone-fixing outcome promise",high,REJECTED,"See rejected-ads.md REJ-06"
